word,phonetic,translation,exchange,derivatives,collins,frq,tag
abatement,ә'beitmәnt,"n. 减少, 减轻, 缓和, 折扣, 撤消, 中止 / [化] 废料; 失效",s:abatements,abatements,,16332,
abbess,'æbes,n. 女修道院院长,s:abbesses,abbesses,,29063,
abbey,'æbi,n. 大修道院,s:abbeys,abbeys,2,17783,
abbot,'æbәt,"n. 男修道院院长, 大寺院男住持",s:abbots,"abbots,abbotship",,21439,
abbreviate,ә'bri:vieit,"vt. 缩写, 使...简略, 缩短 / vi. 使用缩写词",d:abbreviated/i:abbreviating/p:abbreviated/3:abbreviates,"abbreviated,abbreviates,abbreviating,abbreviative,abbreviator",,22759,toefl gre
abbreviated,,"[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的 / [医] 减短的, 缩减的, 省略的",d:abbreviated/0:abbreviated/1:d,,,18452,
abbreviation,ә.bri:vi'eiʃәn,"n. 缩写词, 缩写, 缩短, 节略",s:abbreviations,abbreviations,,20008,cet6 toefl ielts
ABC,'eibi:'si:,"预定章程, 美国广播公司, 澳大利亚广播公司, 字母表, 基础知识 / [计] 记帐预算计价系统, 通用插件板计算机, 美国广播公司, 自动编码系统",s:abcs,abcs,2,0,
abdicate,'æbdikeit,"vt. 正式放弃 / vi. 退位, 退出, 辞职",p:abdicated/d:abdicated/i:abdicating/3:abdicates/s:abdicates,"abdicated,abdicates,abdicating,abdicative,abdicator",,19114,toefl gre
abdication,.æbdi'keiʃәn,"n. 逊位, 弃权, 辞职",,abdications,,23972,
abdomen,'æbdәmen,n. 腹部 / [医] 腹[部],s:abdomens,abdomens,1,9711,ky
abdominal,æb'dɒminәl,"a. 腹部的, 有腹鳍的 / [医] 腹[部]的",s:abdominals,"abdominally,abdominals",,10520,
abduct,æb'dʌkt,"vt. 诱拐, 绑架, 使外展 / [医] 外展, 展",d:abducted/p:abducted/i:abducting/3:abducts,"abducted,abducting,abductive,abductor,abducts",1,11439,toefl gre
abducted,,[法] 诱拐,0:abduct/1:dp/d:abducted,,,31134,
abductee,",æbdʌk'ti:",n. 被绑架者,s:abductees,abductees,,26008,
abduction,æb'dʌkʃәn,"n. 诱拐, 绑架, 外展 / [医] 外展, 展",s:abductions,abductions,,11033,
abductor,æb'dʌktә,"n. 诱拐者, 绑架者, 外展肌 / [医] 展肌, 外展肌",s:abductors,abductors,,23683,
abed,ә'bed,adv. 在床上,,,,27280,
aberrant,æ'berәnt,"a. 偏离正路的, 偏离常轨的, 畸变的 / [化] 异常的",,aberrantly,,21296,gre
aberration,æbә'reiʃәn,"n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差 / [化] 光行差; 像差",s:aberrations,"aberrational,aberrations",1,12462,gre
abet,ә'bet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持",p:abetted/i:abetting/d:abetted/3:abets,"abeted,abetment,abets,abetted,abetting",,15345,gre
abeyance,ә'beiәns,"n. 中止, 暂搁, 停止, 归属待定 / [化] 潜态",,,,29581,gre
abhor,әb'hɒ:,"vt. 憎恶, 痛恨, 回避, 拒绝",p:abhorred/3:abhors/d:abhorred/i:abhorring,"abhorful,abhorred,abhorring,abhors",,16665,toefl gre
abhorrence,әb'hɒrәns,"n. 厌恶, 痛恨",s:abhorrences,abhorrences,,29710,
abhorrent,әb'hɒrәnt,"a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的",,abhorrently,,22815,toefl gre
abide,ә'baid,"vi. 停留, 遵守, 居留, 继续下去 / vt. 忍受, 经受, 屈从于",i:abiding/3:abides/p:abided/d:abided,"abidance,abided,abider,abides,abiding",1,8457,cet6 ky toefl gre
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不变的",0:abide/1:i/i:abiding,"abidingly,abidingness",1,15604,toefl
ability,ә'biliti,"n. 能力, 才干 / [经] 能力, 才能",s:abilities,abilities,4,783,zk gk cet4 ky toefl ielts
abiotic,.eibai'ɒtik,"a. 无生命的, 非生物的 / [医] 无生命的; 生活力缺失的",,,,32028,
abject,'æbdʒekt,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的 / [法] 卑鄙的, 卑下的, 可怜的",,"abjective,abjectly,abjectness",1,16479,toefl gre
abjure,әb'dʒuә,"vt. 发誓断绝, 公开放弃 / [法] 誓绝, 弃绝, 公开放弃",d:abjured/i:abjuring/p:abjured/s:abjures/3:abjures,"abjuration,abjured,abjurer,abjures,abjuring",,30718,gre
ablation,æb'leiʃәn,"n. 腐蚀, 切除, 烧蚀 / [化] 烧蚀",s:ablations,ablations,,29091,
ablaze,ә'bleiz,"a. 着火的, 闪亮的, 激昂的 / adv. 着火, 闪耀",,,1,16903,toefl
able,'eibl,"a. 能干的, 能够的",,"ablation,abled,ableism,abler,ables,ablest,ablism",5,385,zk gk
ablution,ә'blu:ʃәn,"n. 洗澡, 洗礼, 斋戒沐浴 / [化] 洗净; 洗净液",s:ablutions,ablutions,,31213,toefl gre
ably,'eibli,"adv. 能干地, 精明强干地",,,,21469,
abnegate,'æbnigeit,"vt. 放弃, 舍弃, 克制(欲望)",d:abnegated/i:abnegating/p:abnegated/3:abnegates,"abnegated,abnegates,abnegating,abnegator",,0,gre
abnegation,.æbni'geiʃәn,"n. 放弃, 舍弃, 克制",,,,42346,gre
abnormal,æb'nɒ:mәl,"a. 反常的, 不规则的, 变态的, 畸形的 / n. 畸形的人",s:abnormals,"abnormalism,abnormality,abnormalize,abnormally,abnormals",1,8241,gk cet4 cet6 ky toefl ielts
abnormality,.æbnɒ:'mæliti,"n. 反常, 畸形, 变态 / [化] 反常; 非正态性",s:abnormalities,abnormalities,1,11416,
abnormally,,"adv. 不正常, 异常, (贬)不同寻常, 不规则, 变态, 反常",,,,18892,
aboard,ә'bɒ:d,"adv. 在船上, 在火车上, 在飞机上 / prep. 在...之上",,,2,4984,gk cet4 ky toefl
abode,ә'bәud,"n. 住所, 住处 / abide的过去式和过去分词",1:pd/0:abide/s:abodes,"abodement,abodes,aboding",,19221,
abolish,ә'bɒliʃ,"vt. 废止, 革除, 消灭 / [经] 废除, 取消, 裁撤",d:abolished/i:abolishing/p:abolished/3:abolishes,"abolishable,abolished,abolisher,abolishes,abolishing,abolishment",2,7490,gk cet6 ky toefl ielts gre
abolition,.æbәu'liʃәn,"n. 废除, 废奴运动 / [医] 禁止, 消失",,"abolitionism,abolitionist,abolitionize",,13737,toefl gre
abolitionist,.æbәu'liʃәnist,"n. 废除主义者, 废奴主义者",s:abolitionists,abolitionists,,17150,toefl
abominable,ә'bɒminәbl,"a. 讨厌的, 令人憎恶的",,abominableness,,22568,
abominate,ә'bɒmineit,"vt. 厌恶, 憎恶",p:abominated/3:abominates/i:abominating/d:abominated,"abominated,abominates,abominating,abominator",,0,gre
abomination,ә.bɒmi'neiʃәn,"n. 厌恶, 痛恶, 令人厌恶的事物",s:abominations,abominations,,19107,
aboriginal,.æbә'ridʒәnәl,"a. 原始的, 土著的 / n. 土著居民, 土生生物",s:aboriginals,"aboriginality,aboriginally,aboriginals",1,10042,ielts gre
aborigine,,"n. 土著, 土著居民, 土人",s:aborigines,"aboriginal,aborigines",,24154,
abort,ә'bɒ:t,"vi. 流产, 中途失败 / vt. 使流产, 使失败, 使中止",d:aborted/p:aborted/i:aborting/3:aborts,"aborted,aborter,aborting,abortive,aborts",1,12402,toefl ielts
aborted,ә'bɒ:tid,"a. 流产的, 中途失败的",0:abort/1:dp/p:aborted,,,19690,
abortion,ә'bɒ:ʃәn,"n. 流产, 堕胎, 失败, 夭折, 中止 / [医] 流产, 小产; 顿挫",s:abortions,"abortional,abortionism,abortionist,abortions",3,1969,gk ielts
abortionist,ә'bɒ:ʃәnist,n. 为人堕胎者 / [医] 堕胎者,s:abortionists,abortionists,,26350,
abortive,ә'bɒ:tiv,"a. 流产的, 堕胎的, 失败的 / [医] 流产的; 顿挫的",,"abortively,abortiveness",1,22876,toefl gre
abound,ә'baund,"vi. 大量存在, 富于, 充满",3:abounds/p:abounded/i:abounding/d:abounded,"abounded,abounding,abounds",1,7676,ky toefl ielts gre
about,ә'baut,"prep. 在...周围, 大约, 有关, 关于 / adv. 大约, 四处, 在附近, 周围",,"aboutness,abouts",5,46,zk gk
above,ә'bʌv,"prep. 在上方, 超出 / adv. 在上面 / a. 上述的, 上面的",,,4,893,zk gk
aboveboard,ә.bʌv'bɒ:d,"adv. 光明正大地, 率直地 / a. 光明正大的, 率直的",,,,0,gre
abrade,ә'breid,"vt. 擦伤, 磨损, 磨 / [医] 擦除, 擦破; 磨损, 磨除",d:abraded/p:abraded/i:abrading/3:abrades,"abradable,abradant,abraded,abrader,abrades,abrading",,28660,gre
abrasion,ә'breiʒәn,"n. 磨擦, 磨损, 磨损处 / [化] 磨耗; 磨蚀",s:abrasions,abrasions,,18254,toefl ielts gre
abrasive,ә'breisiv,n. 研磨料 / a. 有研磨作用的,s:abrasives,"abrasively,abrasiveness,abrasives,abrasivity",1,16344,toefl gre
abreast,ә'brest,"adv. 并肩地, 并列地",,,1,16406,gre
abridge,ә'bridʒ,"vt. 缩短, 删节, 减少, 剥夺 / [法] 剥夺; 节略",d:abridged/i:abridging/p:abridged/3:abridges,"abridgable,abridged,abridgement,abridger,abridges,abridging,abridgment",,26746,toefl ielts gre
abridged,,a. 删节的；削减的,0:abridge/1:dp/p:abridged/d:abridged,,,29809,
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处 / a. 往国外的, 在室外的, 广泛四散的",,,3,3363,zk gk toefl
abrogate,'æbrәgeit,"vt. 废除, 取消 / [经] 取消, 废除, 不生效(的法令)",d:abrogated/i:abrogating/p:abrogated/3:abrogates,"abrogated,abrogates,abrogating,abrogative,abrogator",,21800,gre
abrogation,.æbrәu'geiʃәn,"n. 废除, 取消 / [经] 废除, 取消",s:abrogations,abrogations,,28783,
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",,"abruptly,abruptness",2,8703,gk cet6 ky toefl ielts gre
abruptly,ә'brʌptli,"adv. 突然地, 唐突地",,,,5243,
abruptness,ә'brʌptnis,"n. 突然, 唐突",,,,31961,
ABS,,"[计] 绝对, 美国标准局",,"absence,absent",,9730,
abscess,'æbsis,n. 脓肿 / vi. 形成脓肿,s:abscesses,"abscessation,abscessed,abscesses",,19223,
abscission,æb'siʒәn,"n. 切断, 除去 / [医] 切除",,,,0,gre
abscond,әb'skɒnd,"vi. 潜逃, 逃匿 / [经] (为躲避罪责,债务等)潜逃",p:absconded/d:absconded/i:absconding/3:absconds/s:absconds,"absconded,abscondence,abscondent,absconder,absconding,abscondment,absconds",,27687,gre
absence,'æbsәns,"n. 缺席, 缺乏, 没有 / [医] 失神",s:absences,absences,3,2524,gk cet4 cet6 ky toefl
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的 / vt. 使缺席",p:absented/i:absenting/d:absented/3:absents,"absentation,absented,absenting,absently,absents",2,5516,zk gk cet4 cet6 ky toefl
absentee,.æbsәn'ti:,"n. 缺席者, 不在者 / [经] 缺勤者, 缺席者, 未到工者",s:absentees,"absenteeism,absentees",1,13021,toefl
absenteeism,æbsәn'ti:iz(ә)m,"n. 经常无故缺席, 旷职, 旷工, 旷课 / [经] 有计划的怠工, 旷工",,,,19278,toefl gre
absently,'æbsәntli,adv. 心不在焉地,,,,14500,
absentmindedly,,adv. 茫然地；精神不集中地,,,,23368,
absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的 / n. 绝对事物",s:absolutes,"absolutely,absoluteness,absolutes,absolutism,absolutist,absolutive,absolutize",3,3165,gk cet4 cet6 ky toefl gre
absolutely,'æbsәlu:tli,"adv. 完全地, 绝对地, 确确实实地",,,4,1149,cet4 toefl
absolution,æbsә'lu:ʃәn,"n. 免罪, 赦免, 免除 / [法] 免罚, 赦免, 免除",,absolutions,,23631,
absolutism,'æbsәlu:tizm,"n. 专制主义, 专制政体论, 绝对主义 / [法] 专制主义, 专制政治论, 绝对主义",s:absolutisms,absolutisms,,24365,
absolutist,'æbsәlu:tist,"n. 专制主义者, 专制政体者, 绝对主义者",s:absolutists,"absolutistic,absolutists",,21735,
absolve,әb'zɒlv,"vt. 宣告...无罪, 赦免, 免除 / [经] 免偿(债务), 解除",d:absolved/p:absolved/i:absolving/3:absolves,"absolvable,absolved,absolvement,absolvent,absolver,absolves,absolving",,17031,toefl gre
absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担 / [医] 吸收",d:absorbed/p:absorbed/3:absorbs/i:absorbing,"absorbable,absorbance,absorbant,absorbed,absorbent,absorber,absorbing,absorbs",2,3120,gk cet4 cet6 ky toefl ielts gre
absorbed,әb'sɒ:bd,"a. 全神贯注的, 一心一意的 / [机] 被吸收的",0:absorb/1:dp/d:absorbed/p:absorbed,absorbedly,,20864,
absorbent,әb'sɒ:bәnt,a. 能吸收的 / n. 吸收剂,s:absorbents,absorbents,,25825,
absorber,әb'sɔ:bә,n. 吸收器 / [化] 吸收剂; 消振器; 缓冲器; 吸收器; 吸收体,s:absorbers,absorbers,,20508,
absorbing,әb'sɒ:biŋ,"a. 吸引人的, 非常有趣的 / [机] 吸收的",0:absorb/1:i/i:absorbing,absorbingly,1,17537,toefl
absorption,әb'sɒ:pʃәn,"n. 吸收, 专心, 全神贯注 / [化] 吸收; 吸收作用",s:absorptions,absorptions,,8596,cet6 toefl
abstain,әb'stein,"vi. 自制, 戒绝, 弃权, 回避",p:abstained/i:abstaining/d:abstained/3:abstains,"abstained,abstainer,abstaining,abstains",1,13833,toefl gre
abstemious,æb'sti:mjәs,"a. 有节制的, 节约的",,"abstemiously,abstemiousness",,41055,gre
abstention,әb'stenʃәn,"n. 戒绝, 回避, 弃权",s:abstentions,"abstentionism,abstentionist,abstentions",,24775,gre
abstentious,æb'stenʃəs,a. 有节制的,,,,0,gre
abstinence,'æbstinәns,"n. 节制, 禁欲, 戒酒 / [医] 节制, 禁戒(如禁酒,节欲)",s:abstinences,abstinences,1,10794,toefl
abstinent,'æbstinәnt,"a. 有节制的, 禁欲的 / n. 禁欲者",,abstinently,,32241,gre
abstract,'æbstrækt,"a. 抽象的, 深奥的 / n. 摘要, 抽象概念 / vt. 摘要, 提炼, 使抽象化 / [计] 摘录; 摘要; 抽象",s:abstracts/d:abstracted/i:abstracting/3:abstracts/p:abstracted,"abstractable,abstracted,abstracter,abstracting,abstractive,abstractly,abstractness,abstractor",2,4007,gk cet4 cet6 ky toefl ielts gre
abstracted,æb'stræktid,"a. 心不在焉的, 出神的, 分离出的",1:dp/0:abstract/d:abstracted,"abstractedly,abstractedness",,26242,
abstraction,æb'strækʃәn,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品 / [化] 提取; 抽取; 夺取; 夺取反应; 除去",s:abstractions,"abstractional,abstractionism,abstractionist,abstractions",1,8413,toefl
abstractly,æb'stræktli,adv. 抽象地；理论上地,,,,25070,
abstruse,æb'stru:s,"a. 难解的, 深奥的",r:abstruser,"abstrusely,abstruseness,abstruser,abstrusity",,29894,toefl gre
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的 / n. 荒诞",s:absurds,"absurdism,absurdist,absurdity,absurdly,absurdness,absurds",2,5901,gk cet6 ky toefl ielts gre
absurdity,әb'sә:diti,"n. 荒谬, 悖理, 荒谬的言行",s:absurdities,absurdities,,12372,
absurdly,әb'sә:dli,"adv. 荒谬地, 荒唐地, 愚蠢地",,,,16888,
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量 / [经] 丰富, 充裕",s:abundances,abundances,1,5425,cet6 ky toefl ielts gre
abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的",,abundantly,1,6223,gk cet4 ky toefl gre
abundantly,ә'bʌndәntli,"adv. 大量地, 丰富地",,,,16050,toefl
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂 / vt. 滥用, 辱骂, 虐待",d:abused/s:abuses/i:abusing/3:abuses/p:abused,"abusable,abused,abuser,abuses,abusing,abusive",4,1540,gk cet4 cet6 ky toefl ielts gre
abused,,"n. 受虐；滥用, 恶习",0:abuse/1:dp/d:abused/p:abused,,,13867,
abuser,,n. 滥用者,s:abusers,abusers,,10324,
abusive,ә'bju:siv,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",,"abusively,abusiveness",,7131,gre
abut,ә'bʌt,"v. 邻接, 毗邻",i:abutting/3:abuts/p:abutted/d:abutted,"abutment,abuts,abutted,abutting",,18235,toefl gre
abutment,ә'bʌtmәnt,"n. 邻接, 接界, 桥台 / [医] 桥基, 基牙",s:abutments,abutments,,31701,
abysmal,ә'bizmәl,"a. 深不可测的, 无底的",,"abysmally,abysmals",,18494,gre
abysmally,ə'bɪzməlɪ,adv. 极糟地; 可怕地; 完全地; 极端地,,,,31376,
abyss,ә'bis,"n. 深渊, 深邃, 地狱",s:abysses,"abyssal,abysses",1,11847,toefl
Abyssinian,.æbi'sinjәn,"a. 阿比西尼亚的 / n. 阿比西尼亚人, 埃塞俄比亚人",s:abyssinians,abyssinians,,30784,
AC,,"公元前 / [计] 存取周期, 累加器, 声耦合器, 交流, 应用控制, 自动检查, 自动计算机",s:acs,"aced,acer,acing,acly,acor,acs,action",1,0,
acacia,ә'keiʃә,"n. 洋槐, 刺槐, 阿拉伯树胶 / [化] 阿拉伯胶; 金合欢胶",s:acacias,acacias,,23234,
academe,",ækә'di:m","n. 研究院, 学会(=academy),学术界,学院",s:academes,"academes,academic,academism,academist,academize",,21378,
academia,.ækә'di:miә,"n. 学术界, 学术生涯",,,,11277,
academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的 / n. 大学生, 大学教师, 学者, 学会会员",s:academics,"academical,academicism,academics",3,1465,gk cet4 cet6 ky toefl ielts gre
academically,.ækә'demikәli,adv. 学术上；学业上,,,,9322,
academician,ә.kædә'miʃәn,"n. 学会会员, 院士, 学究, 大学生, 学者",s:academicians,"academicians,academicianship",,21212,toefl gre
academy,ә'kædәmi,"n. 学院, 院校, 学会",s:academies,academies,2,4895,gk cet4 cet6 ky toefl
Acadian,ә'keidiәn,"a. 阿卡迪亚的,阿卡迪亚人的",s:acadians,acadians,,29934,
acarpous,ei'kɑ:pәs,"a. [植]不结果的,无果实的",,,,0,gre
accede,æk'si:d,"vi. 同意, 正式加入, 就任, 继任",p:acceded/d:acceded/i:acceding/3:accedes,"acceded,accedence,accedes,acceding",,17950,gre
accelerate,әk'selәreit,"v. 加速, 促进",p:accelerated/d:accelerated/i:accelerating/3:accelerates,"accelerated,accelerates,accelerating,accelerative,accelerator",2,4925,gk cet4 cet6 ky toefl ielts gre
accelerated,әk'selәreitid,a. 加快的 / [医] 加速的,0:accelerate/1:pd/p:accelerated/d:accelerated,,,10808,toefl
accelerating,æk'selәreitiŋ,[计] 加速,0:accelerate/1:i/i:accelerating,acceleratingly,,14876,toefl
acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度 / [化] 加速度",s:accelerations,accelerations,1,8018,cet4 toefl
accelerator,әk'selәreitә,"n. 加速剂, 加速器, 油门 / [化] 加速器; 早强剂; 促进剂; 硫化促进剂",s:accelerators,accelerators,1,11455,
accelerometer,әk.selә'rɒmitә,n. 加速度计 / [化] 加速度计,s:accelerometers,accelerometers,,27842,
accent,'æksәnt,"n. 重音, 口音, 特点, 注重点 / vt. 重读, 加重音号于, 强调",s:accents/p:accented/i:accenting/d:accented/3:accents,"accented,accenting,accentless,accentor,accents",2,4140,zk gk cet4 ky
accented,ˈæksentɪd,a. 带…腔调的；带…口音的,0:accent/1:pd/p:accented/d:accented,,,24817,
accentuate,æk'sentjueit,"vt. 以重音念, 强调, 重读",d:accentuated/p:accentuated/3:accentuates/i:accentuating,"accentuated,accentuates,accentuating,accentuator",1,10880,toefl gre
accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍 / vi. 同意",d:accepted/p:accepted/i:accepting/3:accepts,"acceptable,acceptance,acceptant,acceptation,accepted,accepter,accepting,acceptive",5,766,zk gk cet4 ky
acceptability,әk.septә'biliti,"n. 可接受, 合意, 可忍受",,,,15203,
acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的",,acceptableness,3,3415,cet4
acceptably,әk'septәbli,"adv. 可欣然接受地, 承受得住地, 能合人意地",,,,31017,
acceptance,әk'septәns,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信 / [经] 承兑, 认付, (工程)验收",s:acceptances,acceptances,2,3443,cet4 cet6 ky
accepted,әk'septid,"a. 公认的, 一般承认的 / [经] 已承兑, 已认付",0:accept/1:dp/d:accepted/p:accepted,acceptedly,4,6728,
access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作 / vt. 访问, 存取, 接近, 使用 / [计] 访问, 存取",d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,"accessed,accesses,accessible,accessing,accessment,accessor",3,1113,gk cet4 cet6 ky toefl ielts gre
accessary,әk'sesәri,"a. 附属的, 附带的, 从犯的 / n. 附件, 同谋, 从犯",,"accessaries,accessarily,accessariness",,0,cet6
accessibility,әk.sesә'biliti,"n. 易接近, 可进入 / [化] 可及性; 可达性; 可接近性; 吸湿性",s:accessibilities,accessibilities,,10407,toefl
accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",,accessibleness,2,4377,gk cet6 toefl ielts gre
accession,æk'seʃәn,"n. 到达, 即位, 增加, 同意, 发作, 正式接受 / vt. 登记入册",s:accessions/d:accessioned/p:accessioned/i:accessioning/3:accessions,"accessional,accessioned,accessioning,accessions",,16248,
accessorize,әk'sesәraiz,"vt. 附加, 补充 / vi. 穿戴装饰品",d:accessorized,"accessorized,accessorizes,accessorizing",,25596,
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 从犯, 同谋 / a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的 / [计] 附件",s:accessories,"accessorial,accessories,accessorily,accessoriness",2,6429,cet4 cet6 ky toefl ielts gre
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面 / [化] 意外事故; 事故",s:accidents,"accidental,accidented,accidently,accidents",3,1707,zk gk cet4 ky toefl
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的 / n. 临时记号, 次要方面",s:accidentals,"accidentalism,accidentalist,accidentally,accidentalness,accidentals",2,7485,cet4 cet6 ky toefl
accidentally,.æksi'dentli,"adv. 偶然地, 意外地",,,,7057,toefl
accidents,,n. 意外事故；事故（accident的复数）,0:accident/1:s,,,0,ielts
acclaim,ә'kleim,"n. 喝彩, 欢呼, 赞同 / v. 欢呼, 喝彩, 称赞",d:acclaimed/p:acclaimed/i:acclaiming/s:acclaims/3:acclaims,"acclaimed,acclaimer,acclaiming,acclaims",2,12422,ky toefl ielts gre
acclaimed,ə'kleɪmd,v. 欢呼（acclaim的过去式及过去分词） / a. 受到赞扬的,0:acclaim/1:dp/d:acclaimed/p:acclaimed,,,11493,toefl
acclamation,.æklә'meiʃәn,"n. 欢呼, 称赞, 喝彩",s:acclamations,acclamations,,31381,
acclimate,ә'klaimit,"vt. 使适应, 使服水土 / vi. 服水土, 适应新环境",p:acclimated/i:acclimating/3:acclimates/d:acclimated,"acclimatable,acclimatation,acclimated,acclimatement,acclimates,acclimating,acclimatise,acclimatize",,21471,gre
accolade,.ækәu'leid,"n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号",s:accolades,accolades,1,15220,gre
accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供 / vi. 适应",d:accommodated/i:accommodating/3:accommodates/p:accommodated,"accommodatable,accommodated,accommodates,accommodating,accommodative,accommodator",2,3717,cet4 cet6 ky toefl ielts gre
accommodating,ә'kɒmәdeitiŋ,"a. 与人方便的, 肯通融的",0:accommodate/1:i/i:accommodating,accommodatingly,,21838,toefl gre
accommodation,ә.kɒmә'deiʃәn,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款 / [医] 调节(眼); 适应",s:accommodations,"accommodational,accommodationism,accommodationist,accommodations",2,5369,gk cet4 cet6 ky ielts
accommodations,,"n. 膳宿；住房, 住宿；居住设施（accommodation的复数）",0:accommodation/1:s,,,0,ielts
accompaniment,ә'kʌmpәnimәnt,"n. 伴随物, 附加物, 伴奏",s:accompaniments,accompaniments,1,11320,toefl
accompanist,ә'kʌmpәnist,n. 伴奏者,s:accompanists,accompanists,,29471,
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏 / vi. 伴奏, 伴唱",d:accompanied/p:accompanied/i:accompanying/3:accompanies,"accompanied,accompanier,accompanies,accompaniment,accompanying,accompanyist",3,2438,gk cet4 cet6 ky toefl ielts gre
accompanying,,"a. 随同的, 附见的",0:accompany/1:i/i:accompanying,,,6968,toefl
accomplice,ә'kʌmplis,"n. 共犯, 同谋 / [医] 协同菌",s:accomplices,accomplices,1,12704,toefl gre
accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美",d:accomplished/p:accomplished/i:accomplishing/3:accomplishes,"accomplishable,accomplished,accomplisher,accomplishes,accomplishing,accomplishment",2,2345,gk cet4 ky toefl ielts gre
